dim	k	n	amount	rem
goods	62674	1	3812.00	3160.00
goods	630	8	9849.00	7501.00
goods	631	10	9489.00	7726.00
goods	63678	2	1020.00	734.00
goods	63686	1	360.00	315.00
goods	63687	1	260.00	250.00
goods	63692	1	310.00	270.00
goods	63701	2	1240.00	1094.00
goods	64034	1	680.00	585.00
goods	64037	2	3249.00	2870.00
goods	64146	2	2630.00	2530.00
goods	64153	1	680.00	585.00
goods	64154	4	1485.89	1258.89
goods	64155	1	520.00	450.00
goods	644	8	27783.62	21738.62
goods	646	1	250.00	192.00
goods	648	3	1026.00	584.00
goods	649	16	28949.43	17543.03
goods	650	2	7697.72	6568.72
goods	65185	1	670.00	620.00
goods	65191	1	700.00	650.00
goods	652	1	1140.00	770.00
goods	653	3	5810.00	2620.00
goods	654	8	18641.49	12036.49
goods	656	1	1050.00	600.00
goods	657	3	7175.03	4028.00
goods	658	1	1260.00	1259.00
goods	65935	1	280.00	243.00
goods	660	11	20674.72	13593.36
goods	661	2	2795.00	1698.00
goods	662	2	1820.00	980.00
goods	663	3	5587.00	3930.00
goods	667	1	896.00	588.00
goods	668	2	1815.00	166.00
goods	669	9	13858.91	8432.91
goods	673	4	7330.00	6030.00
goods	67403	1	580.00	459.00
goods	67633	3	2306.00	1746.00
goods	67634	2	990.00	873.00
goods	67635	3	1829.00	1650.00
goods	67636	3	2739.00	2304.00
goods	67637	7	7818.00	6619.00
goods	67638	2	3865.00	3421.00
goods	67639	5	13529.00	12459.00
goods	67640	2	2172.00	2006.00
goods	67641	5	6579.00	5836.00
goods	67642	1	2360.00	2124.00
goods	67643	2	5520.00	4458.00
goods	67856	1	1440.00	1120.00
goods	679	10	7760.00	6560.00
goods	680	4	7154.25	2921.65
goods	681	10	14293.00	6398.23
goods	682	10	15376.47	9354.89
goods	683	2	3460.00	1460.00
goods	684	19	19753.59	10028.79
goods	685	18	22776.83	15357.43
goods	686	9	21289.65	10853.66
goods	687	7	14473.00	8281.00
goods	68727	3	4400.00	3800.00
goods	68728	1	4630.00	3544.00
goods	68729	2	1730.00	1512.00
goods	68730	2	3210.00	2790.00
goods	688	8	19285.79	11974.39
goods	68897	1	3490.00	2752.00
goods	68901	2	4230.00	3890.00
goods	68903	1	2417.00	2130.00
goods	68909	11	19839.00	17128.00
goods	68913	7	19030.00	16793.00
goods	690	1	805.00	644.00
goods	692	2	4320.00	2751.00
goods	693	1	1414.82	140.41
goods	696	6	12762.00	5229.00
goods	697	2	11554.86	4308.86
goods	70298	1	659.00	575.00
goods	70299	2	1319.00	1215.00
goods	703	4	4454.33	3578.33
goods	70301	2	1469.00	1429.00
goods	70303	1	660.00	504.00
goods	70312	1	950.00	828.00
goods	70313	3	2850.00	2622.91
goods	70316	1	770.00	750.00
goods	70317	2	1540.00	900.00
goods	70318	1	768.00	664.00
goods	70320	1	2206.00	1720.00
goods	70322	1	1200.00	990.00
goods	70327	3	3030.00	2582.00
goods	70328	1	1003.00	789.00
goods	70331	1	680.00	650.00
goods	70337	1	1110.00	1010.00
goods	704	9	14818.76	12266.71
goods	707	3	4480.00	3192.00
goods	709	2	1730.38	1388.69
goods	710	1	1920.00	1683.00
goods	712	1	510.00	250.00
goods	71306	1	510.00	441.00
goods	71308	1	270.00	200.00
goods	71330	2	550.00	434.00
goods	71606	1	220.00	220.00
goods	71675	1	1540.00	1500.00
goods	719	11	15765.54	12531.54
goods	71994	2	960.00	807.00
goods	71997	1	480.00	460.00
goods	720	9	16771.61	13059.61
goods	721	1	1963.66	1506.66
goods	722	2	1085.30	758.15
goods	72387	1	620.00	600.00
goods	72394	1	1006.00	891.00
goods	725	3	1508.00	1033.00
goods	726	6	4972.00	3007.00
goods	727	2	2230.00	2090.00
goods	72870	2	1697.00	1601.00
goods	73079	1	480.00	423.00
goods	731	1	612.00	250.00
goods	732	1	1500.00	1305.00
goods	73240	1	950.00	837.00
goods	736	2	5380.00	3980.00
goods	737	1	1930.00	1800.00
goods	73776	1	377.00	190.00
goods	739	3	4580.00	2000.00
goods	741	1	3520.00	2943.00
goods	744	1	480.00	235.00
goods	746	2	5594.58	2194.58
goods	747	23	25540.62	17644.57
goods	748	1	440.00	43.00
goods	749	7	5409.00	1640.00
goods	750	2	2600.00	2413.00
goods	754	1	1420.00	1340.00
goods	756	1	1220.00	540.00
goods	757	1	1470.00	1305.00
goods	75719	1	310.00	270.00
goods	761	3	3570.18	974.09
goods	76287	2	2692.00	1319.00
goods	76288	5	7498.00	6556.00
goods	766	4	4204.24	2018.67
goods	767	1	194.00	70.00
goods	76882	2	5878.00	5227.00
goods	769	1	570.00	385.00
goods	770	1	1420.00	137.00
goods	771	1	462.00	112.00
goods	772	4	2710.66	484.33
goods	773	7	8876.22	6145.36
goods	774	5	6506.00	3706.00
goods	776	1	4860.00	4360.00
goods	77739	1	1480.00	1400.00
goods	77773	1	990.00	873.00
goods	77779	1	1110.00	1110.00
goods	778	1	995.00	490.00
goods	780	1	600.00	495.00
goods	781	5	7280.00	6183.00
goods	782	7	11510.00	8748.00
goods	783	16	33335.19	18108.83
goods	784	3	4155.67	891.91
goods	785	1	800.00	200.00
goods	78608	1	229.50	176.00
goods	787	6	4308.00	2991.94
goods	789	3	861.48	380.06
goods	792	2	1520.28	245.76
goods	793	2	1520.00	1008.00
goods	798	5	2870.00	1210.01
goods	799	1	179.00	179.00
goods	800	12	5914.60	3884.14
goods	808	7	12633.25	8070.75
goods	812	1	5080.00	4780.00
goods	814	2	1640.00	988.00
goods	816	15	20965.31	11764.96
goods	817	2	3096.00	2441.00
goods	818	5	10546.67	6356.28
goods	819	2	6270.00	2704.00
goods	820	1	1905.00	1097.00
