product_id	cost
896	1060.0000
893	805.0000
892	770.0000
891	730.0000
890	700.0000
889	650.0000
888	620.0000
869	110.0000
774	799.0000
773	719.0000
759	1557.0000
707	799.0000
706	1395.0000
705	1065.0000
704	740.0000
703	575.0000
701	935.0000
615	3060.0000
583	1215.0000
582	1119.0000
580	1138.0000
578	1439.0000
577	1311.0000
575	1871.0000
574	2559.0000
516	118.0000
464	1159.0000
441	1229.0000
405	118.0000
354	192.0000
350	751.0000
344	1359.0000
337	671.0000
320	263.0000
306	279.0000
304	1119.0000
302	455.0000
301	535.0000
299	687.0000
298	559.0000
2035	155.0000
2026	519.0000
2025	319.0000
1998	746.0000
2014	1175.0000
2037	1119.0000
2044	1079.0000
2045	272.0000
2028	775.3500
2031	356.6600
2033	429.0300
1980	491.0000
1982	389.0000
2016	444.0000
2059	254.0000
2177	1150.0000
2184	1350.0000
2185	1750.0000
1979	600.0000
2034	966.6000
2015	663.0000
1981	594.0000
2041	1559.0000
1997	1335.0000
2493	764.0000
4341	160.0000
4342	140.0000
4347	220.0000
5429	225.0000
5454	427.0000
5455	490.0000
5456	1330.0000
5459	1120.0000
5460	565.0000
5438	201.0000
5439	250.0000
5440	200.0000
5442	306.0000
5435	226.0000
5444	315.0000
5445	945.0000
5447	200.0000
5448	1155.0000
5436	460.0000
5428	476.0000
5449	595.0000
5451	651.0000
5452	630.0000
5453	1190.0000
5437	665.0000
5033	294.0000
5036	200.0000
5028	474.0000
5034	294.0000
5031	355.0000
13223	326.0000
13248	27.3000
13275	50.0000
13235	31.7000
13237	47.1000
5190	145.0000
12488	1054.5000
12472	1017.5000
12489	306.0000
12486	306.0000
12504	330.0000
12586	226.0000
12592	229.0000
12554	205.0000
12612	179.5000
12509	183.0000
12525	175.0000
12616	170.4000
12599	136.0000
12556	128.0000
12583	113.2000
12435	123.0000
12449	111.0000
12538	121.5000
12516	100.4000
12619	97.2000
12514	86.0000
12601	99.2000
12617	87.2000
12434	82.0000
12480	78.0000
12503	87.2000
12609	92.4000
12473	62.0000
12517	40.8000
12518	46.0000
12437	33.5000
12458	38.3000
12482	33.5000
12491	33.5000
12564	42.5000
12571	38.8000
12590	36.8000
12510	37.8000
12521	35.1000
12608	32.0000
12499	29.0000
12436	23.5000
12469	21.5000
12485	23.0000
12546	23.3000
12629	20.2000
12607	25.3000
12565	27.1000
12570	19.0000
12572	24.3000
12575	20.2000
13245	109.2000
13227	71.2000
13271	46.3000
13251	74.0000
13229	74.0000
13230	47.8000
13281	38.8000
13250	76.4000
5144	665.0000
5147	1405.0000
5141	770.0000
5157	686.0000
5156	546.0000
5140	553.0000
5139	504.0000
5054	396.0000
5153	295.0000
5158	277.0000
5152	240.0000
5138	257.0000
5145	227.0000
5154	215.0000
5160	166.0000
5159	165.0000
5229	327.0000
5076	322.0000
5092	665.0000
13265	20.2000
13278	19.3000
5179	376.0000
22624	524.0000
22601	5893.0000
22600	4054.0000
22602	4332.0000
22634	4678.0000
22588	285.0000
25992	1012.0000
26004	865.0000
26006	1303.0000
26557	1655.0000
26525	2185.0000
26542	1722.0000
26519	2350.0000
26556	1995.0000
26528	1400.0000
26518	1343.0000
26529	1218.0000
26526	1662.0000
26555	3241.0000
26554	3282.0000
26552	2160.0000
26520	2081.0000
26530	1460.0000
26522	1636.0000
26547	1320.0000
26549	1150.0000
25274	1650.0000
25268	1580.0000
25262	1500.0000
25265	1320.0000
22641	1690.0000
22635	2951.0000
22633	4646.0000
22625	2808.0000
22611	3256.0000
22614	1100.0000
22610	2419.0000
22615	3509.0000
25273	999.0000
25266	1100.0000
25263	1070.0000
25276	1908.0000
25271	2152.0000
22632	2625.0000
22623	541.0000
22628	1013.0000
22626	974.9925
22629	835.0000
22612	1050.0000
22618	1500.0000
22604	585.0000
25269	766.0000
25272	713.0000
25275	739.0000
25264	765.0000
26527	870.0000
26521	610.0000
26541	803.0000
26524	749.0000
26533	754.0000
26546	770.0000
22591	1425.0000
30812	241.0000
30813	285.0000
5336	200.0000
5306	504.0000
26551	2467.0000
26540	1327.0000
26534	1672.0000
26548	2504.0000
22598	1935.0000
22596	2160.0000
22620	2711.0000
22621	3299.0000
22613	3340.0000
22616	3653.0000
22638	2423.0000
22639	2328.0000
22642	1658.0000
22630	3842.0000
22589	525.0000
22594	780.0000
22592	1125.0000
22603	1125.0000
26536	792.0000
26543	713.0000
26553	840.0000
38506	218.0000
39221	49.0000
38353	520.0000
22637	2109.0000
38355	1352.0000
40341	522.0300
40362	715.9200
40363	1113.6600
40364	1382.1300
40365	586.6600
40366	676.1500
40367	745.7500
40368	217.6400
40369	228.5200
40372	470.2400
40374	826.0700
40375	863.4500
40377	1012.3000
40378	652.1100
40379	506.7200
40380	636.8300
40463	972.5700
40464	489.8200
40466	576.2600
40469	533.0400
40470	755.4000
40471	616.2400
40253	805.0000
5412	250.0000
60094	1430.8600
62009	1390.2700
68727	961.0000
68897	2029.0000
68904	1849.0000
68913	1541.0000
74084	436.0000
74085	287.0000
76250	5400.0000
76431	1359.0000
76882	1719.0000
40264	930.0000
40263	1375.0000
40262	1670.0000
40261	1320.0000
40260	1120.0000
40259	780.0000
40258	825.0000
40257	1190.0000
40256	552.0000
40255	525.0000
40254	820.0000
40252	926.0000
101125	1483.0000
38369	750.0000
38367	857.0000
40291	342.0000
40297	939.0000
40295	964.0000
40298	1199.0000
40292	976.0000
40296	849.0000
40293	313.0000
38351	270.0000
38350	210.0000
38352	165.0000
38505	150.0000
38361	167.0000
38365	142.0000
38366	144.0000
38481	156.0000
38483	157.0000
39225	149.0000
39224	123.0000
39222	123.0000
39226	35.0000
39228	45.0000
167117	392.0000
168050	562.0000
168143	317.0000
38568	311.0000
38484	119.0000
39245	88.0000
39246	89.0000
39223	174.0000
39211	112.0000
40294	1594.0000
38359	2473.0000
38358	2273.0000
38364	1010.0000
38354	1179.0000
38360	1567.0000
38569	135.0000
26544	1125.0000
38349	270.0000
38504	163.0000
5426	245.0000
5425	266.0000
5424	840.0000
5422	177.0000
5421	525.0000
5420	600.0000
5419	770.0000
5417	600.0000
5416	665.0000
5415	553.0000
5411	241.0000
5410	232.0000
5409	583.0000
5408	1190.0000
5407	240.0000
5406	595.0000
5405	438.0000
5404	455.0000
5403	481.0000
5402	1120.0000
5401	320.0000
5400	220.0000
5399	555.0000
5398	205.0000
5397	195.0000
5396	333.0000
5394	280.0000
5393	175.0000
5391	184.0000
5388	158.0000
5386	208.0000
5385	235.0000
