period	d	order_id	product_id	qty	sales	deal_type	brand	sku	product_name
2026-09	2026-09-03	55379	1731	1	249.0000	installment	ARZUM	ARZUM-OK0010-K	ყავის აპარატი ARZUM OK0010-K
2026-09	2026-09-03	55391	39054	1	299.0000	installment	SAMSUNG	121799	Vacuum Cleaner/ (Promo) Samsung VC20M255AWB/EV
2026-09	2026-09-03	55391	39324	1	749.0000	installment		A-12	მაგიდა წიწვოვანი მასალის ზედაპირით A-12
2026-09	2026-09-03	55445	34359	1	379.0000	installment		240152	კარის კომპლექტი Omis Comfort 34x700x2150 მმ
2026-09	2026-09-03	55449	3488	1	349.0000	installment	ANIA HAIE	EAR003	Ania Haie E050-03H Silver Twisted Wave Hoop საყურე
2026-09	2026-09-03	55497	58088	1	299.0000	installment		SIRIUS-7	SIRIUS თეთრი ტუმბო ორი კარით 94
2026-09	2026-09-03	55541	40659	1	179.0000	installment		250019	უჟანგავი ფოლადის ქვაბი თავსახურით Arshia 26586 18 სმ
2026-09	2026-09-03	55541	210	1	149.0000	installment	BRAUN	BRAUN-HT3010WH	ტოსტერი BRAUN HT3010WH
2026-09	2026-09-03	55573	800	1	369.0000	installment	PHILIPS	PHILIPS-BHS752-00	თმის უთო PHILIPS BHS752/00
2026-09	2026-09-03	55573	913	1	489.0000	installment	NINJA	NINJA-TB201EU	ბლენდერი NINJA TB201EU
2026-09	2026-09-03	55599	39707	1	679.0000	installment	SAMSUNG	169672	Mobile and Smartphones/ Samsung/ Samsung A175F Galaxy A17 6GB/128GB LTE Duos Light Blue
2026-09	2026-09-03	55712	799	1	179.0000	installment	FRANKO	FRANKO-FHB-90-20	ბლენდერი FRANKO FHB-9020
2026-09	2026-09-04	15738	1471	1	919.0000	installment	HISENSE	HISENSE-WF3S8043BB3	სარეცხი მანქანა HISENSE WF3S8043BB3
2026-09	2026-09-04	55386	847	1	869.0000	installment	CHIGO	CHIGO-CWF804	სარეცხი მანქანა CHIGO CWF804
2026-09	2026-09-04	55415	242	1	859.0000	installment	HISENSE	HISENSE-DB35DCUR-INOX	მაცივარი HISENSE DB35DCUR-INOX
