order_id	schedule_sum	advance	base_grand_total
56455	1500.00	20.0000	1199.0000
56459	320.00	10.0000	259.0000
56464	600.00	30.0000	499.0000
56482	1200.00	60.0000	999.0000
56494	1440.00	50.0000	1178.0000
56496	800.00	20.0000	649.0000
56506	870.00	290.0000	919.0000
56518	1500.00	170.0000	1319.0000
56520	1610.00	100.0000	1348.0000
56521	800.00	60.0000	679.0000
56528	840.00	20.0000	679.0000
56532	410.00	10.0000	329.0000
56535	530.00	30.0000	439.0000
56541	700.00	20.0000	569.0000
56551	1190.00	10.0000	949.0000
56554	350.00	30.0000	459.0000
56561	1590.00	50.0000	1299.0000
56580	1000.00	40.0000	819.0000
56607	2010.00	100.0000	1669.0000
56609	320.00	10.0000	259.0000
56625	690.00	10.0000	548.0000
56630	900.00	50.0000	749.0000
56638	1130.00	150.0000	1009.0000
56640	2060.00	600.0000	2108.0000
56656	1760.00	50.0000	1429.0000
56675	1000.00	40.0000	819.0000
56676	1200.00	60.0000	999.0000
56689	1100.00	100.0000	936.0000
56711	500.00	10.0000	398.0000
56714	700.00	20.0000	619.0000
56716	800.00	60.0000	679.0000
56717	840.00	20.0000	679.0000
56720	900.00	20.0000	729.0000
56745	800.00	60.0000	679.0000
56749	1820.00	100.0000	1517.0000
56750	1500.00	100.0000	1269.0000
56753	2500.00	200.0000	2139.0000
56764	1500.00	140.0000	1299.0000
56769	1550.00	50.0000	1269.0000
56778	900.00	20.0000	789.0000
56780	700.00	20.0000	569.0000
56790	900.00	50.0000	1059.0000
56805	2200.00	70.0000	1798.0000
56806	2500.00	90.0000	2049.0000
56809	1630.00	150.0000	1458.0000
56812	850.00	10.0000	679.0000
56816	260.00	10.0000	209.0000
56819	1200.00	60.0000	999.0000
56823	650.00	10.0000	519.0000
56824	300.00	30.0000	258.0000
56853	580.00	20.0000	468.0000
56862	520.00	20.0000	369.0000
56864	900.00	50.0000	749.0000
56865	250.00	40.0000	228.0000
56868	960.00	100.0000	839.0000
56881	250.00	20.0000	209.0000
56883	1500.00	30.0000	1209.0000
56887	1310.00	20.0000	1049.0000
56890	1350.00	100.0000	995.0000
56897	500.00	20.0000	499.0000
56901	1100.00	60.0000	919.0000
56903	1180.00	100.0000	1009.0000
56917	450.00	20.0000	369.0000
56922	1100.00	160.0000	999.0000
56951	450.00	10.0000	358.0000
56953	310.00	10.0000	249.0000
56959	1340.00	50.0000	1099.0000
56967	1800.00	70.0000	1519.0000
56972	1050.00	50.0000	869.0000
57002	1200.00	60.0000	999.0000
57013	1200.00	60.0000	999.0000
57014	970.00	20.0000	779.0000
57020	1050.00	40.0000	859.0000
57024	940.00	20.0000	759.0000
57041	1200.00	90.0000	1019.0000
57043	890.00	10.0000	709.0000
57046	670.00	20.0000	470.0000
57066	700.00	20.0000	619.0000
57068	560.00	20.0000	459.0000
57069	880.00	20.0000	709.0000
57072	540.00	20.0000	439.0000
57079	2010.00	100.0000	1669.0000
57083	1500.00	140.0000	1299.0000
57084	930.00	20.0000	749.0000
57089	370.00	10.0000	299.0000
57092	800.00	20.0000	649.0000
57093	470.00	10.0000	379.0000
57094	460.00	10.0000	369.0000
57121	1000.00	70.0000	849.0000
57131	450.00	20.0000	369.0000
57132	1300.00	60.0000	1259.0000
57140	740.00	20.0000	599.0000
57158	850.00	10.0000	679.0000
57162	1240.00	20.0000	999.0000
57164	610.00	20.0000	499.0000
57168	400.00	10.0000	319.0000
57169	620.00	10.0000	487.0000
57170	230.00	10.0000	189.0000
57174	970.00	20.0000	779.0000
57176	840.00	20.0000	679.0000
57178	1730.00	150.0000	1295.0000
57179	470.00	10.0000	379.0000
57180	1100.00	60.0000	919.0000
57182	1710.00	100.0000	1429.0000
57183	1000.00	40.0000	819.0000
57187	590.00	20.0000	478.0000
57192	1350.00	60.0000	1119.0000
57196	1300.00	30.0000	1049.0000
57201	380.00	10.0000	309.0000
57206	930.00	20.0000	749.0000
57216	840.00	20.0000	679.0000
57220	710.00	10.0000	568.0000
57231	1240.00	20.0000	999.0000
57232	1950.00	80.0000	1609.0000
57245	240.00	10.0000	188.0000
57259	1180.00	20.0000	949.0000
57260	890.00	10.0000	709.0000
57264	1500.00	140.0000	1299.0000
57272	880.00	20.0000	709.0000
57278	1110.00	130.0000	979.0000
57286	330.00	10.0000	339.0000
57299	470.00	10.0000	379.0000
57300	510.00	20.0000	419.0000
57314	970.00	20.0000	779.0000
57328	840.00	50.0000	699.0000
57329	1270.00	20.0000	1019.0000
57339	730.00	20.0000	589.0000
57382	260.00	10.0000	209.0000
57387	670.00	20.0000	538.0000
57395	250.00	30.0000	219.0000
57405	1500.00	270.0000	1398.0000
57406	880.00	20.0000	709.0000
57422	540.00	20.0000	439.0000
57440	1450.00	150.0000	1269.0000
57456	1500.00	140.0000	1299.0000
57472	2190.00	200.0000	1889.0000
57489	1500.00	100.0000	1269.0000
57494	2840.00	300.0000	2489.0000
57495	730.00	20.0000	749.0000
57500	1360.00	20.0000	1089.0000
57503	1470.00	50.0000	1199.0000
57507	750.00	20.0000	609.0000
57508	709.00	1.0000	560.0000
57509	1500.00	100.0000	1269.0000
57516	350.00	10.0000	279.0000
57517	540.00	20.0000	439.0000
57525	1160.00	100.0000	999.0000
57537	1380.00	20.0000	1219.0000
57540	450.00	20.0000	369.0000
57547	900.00	50.0000	1059.0000
57558	750.00	50.0000	629.0000
57567	1500.00	140.0000	1299.0000
57568	400.00	10.0000	319.0000
57572	1200.00	40.0000	979.0000
57574	700.00	20.0000	565.0000
57579	1570.00	200.0000	1399.0000
57581	1910.00	200.0000	1669.0000
57588	850.00	10.0000	679.0000
57603	850.00	50.0000	709.0000
57614	1640.00	150.0000	1419.0000
57626	1200.00	40.0000	979.0000
57634	800.00	10.0000	639.0000
57635	890.00	10.0000	709.0000
57639	550.00	20.0000	449.0000
57641	1040.00	50.0000	859.0000
57667	320.00	10.0000	259.0000
57669	1500.00	100.0000	1269.0000
57682	350.00	10.0000	278.0000
57686	560.00	20.0000	448.0000
57687	340.00	10.0000	268.0000
57692	800.00	60.0000	679.0000
57696	1130.00	10.0000	899.0000
57697	950.00	10.0000	759.0000
57698	1830.00	300.0000	1689.0000
57701	1490.00	10.0000	1178.0000
57708	490.00	20.0000	399.0000
57713	2290.00	100.0000	1889.0000
57715	779.00	1.0000	615.0000
57717	400.00	10.0000	320.0000
57720	1500.00	140.0000	1299.0000
57723	900.00	40.0000	738.0000
57726	1530.00	600.0000	1689.0000
57739	480.00	20.0000	509.0000
57746	980.00	10.0000	779.0000
57749	550.00	10.0000	438.0000
57752	1500.00	20.0000	1199.0000
57757	330.00	20.0000	268.0000
57760	1250.00	40.0000	1019.0000
57761	1500.00	140.0000	1299.0000
57762	1500.00	140.0000	1299.0000
57768	610.00	10.0000	489.0000
