product_id	start_price	final_price	deal_type
12569	720.00	1190.00	installment
12569	720.00	1190.00	installment
11798	740.00	1210.00	installment
14422	840.00	1380.00	installment
13929	154.00	280.00	installment
12569	720.00	1190.00	installment
12043	650.00	1070.00	installment
9664	600.00	990.00	installment
10083	139.00	250.00	installment
12568	720.00	1190.00	installment
13929	154.00	280.00	installment
12569	720.00	1190.00	installment
6523	49.00	90.00	installment
14713	160.00	270.00	installment
5442	640.00	1050.00	installment
1273	82.00	160.00	installment
1345	55.00	100.00	installment
4673	71.00	140.00	installment
14583	75.00	180.00	installment
14972	29.00	60.00	installment
15623	41.00	100.00	installment
9652	600.00	990.00	installment
11095	400.00	670.00	installment
15714	342.00	610.00	installment
6893	635.00	1040.00	installment
12914	230.00	490.00	installment
14384	412.00	680.00	installment
6576	745.00	1220.00	installment
113	455.00	750.00	installment
15628	600.00	990.00	installment
12474	430.00	720.00	installment
15673	289.00	490.00	installment
15632	249.00	490.00	installment
9958	450.00	750.00	installment
3510	655.00	1080.00	installment
13541	947.00	1790.00	installment
2077	4150.00	5950.00	installment
14303	1000.00	1690.00	installment
13946	495.00	850.00	installment
15124	774.00	1330.00	installment
14638	919.00	1550.00	installment
13575	674.00	1110.00	installment
14828	745.00	1270.00	installment
6156	980.00	1610.00	installment
6523	49.00	90.00	installment
12444	83.00	150.00	installment
14559	53.00	140.00	installment
15630	900.00	1480.00	installment
13929	154.00	280.00	installment
3687	505.00	850.00	installment
15646	379.00	650.00	installment
11099	1250.00	2040.00	installment
15545	265.00	450.00	installment
15424	70.00	160.00	installment
15648	86.00	200.00	installment
15653	285.00	490.00	installment
15653	285.00	490.00	installment
13946	495.00	850.00	installment
13937	154.00	280.00	installment
15057	60.00	110.00	installment
724	284.00	520.00	installment
6964	1326.00	2440.00	installment
14052	879.00	1570.00	installment
5848	640.00	1050.00	installment
15655	289.00	490.00	installment
15076	235.00	490.00	installment
15664	970.00	1600.00	installment
15417	248.00	440.00	installment
15420	274.00	530.00	installment
13877	625.00	1070.00	installment
7223	608.00	1100.00	installment
15665	270.00	450.00	installment
15670	970.00	1600.00	installment
3566	195.00	340.00	installment
3777	134.00	240.00	installment
4810	60.00	110.00	installment
4966	66.00	120.00	installment
12914	230.00	490.00	installment
14035	700.00	1150.00	installment
14097	154.00	280.00	installment
15547	270.00	450.00	installment
15674	1263.00	2180.00	installment
13295	460.00	790.00	installment
15258	134.00	240.00	installment
9652	600.00	990.00	installment
15039	259.00	440.00	installment
15651	970.00	1600.00	installment
15760	2070.00	3380.00	installment
14930	235.00	490.00	installment
15686	76.00	150.00	installment
15651	970.00	1600.00	installment
15616	385.00	640.00	installment
15655	289.00	490.00	installment
15671	970.00	1600.00	installment
15465	418.00	690.00	installment
15691	155.00	330.00	installment
15692	312.00	550.00	installment
15670	970.00	1600.00	installment
3982	86.00	160.00	installment
14695	374.00	620.00	installment
15696	170.00	330.00	installment
15697	131.00	290.00	installment
15280	312.00	550.00	installment
15670	970.00	1600.00	installment
12621	440.00	730.00	installment
15505	893.00	1460.00	installment
11751	294.00	490.00	installment
15673	289.00	490.00	installment
15698	1997.00	3280.00	installment
15673	289.00	490.00	installment
15574	159.00	310.00	installment
13769	1650.00	2700.00	installment
15560	995.00	1740.00	installment
13080	595.00	980.00	installment
13990	495.00	850.00	installment
13866	390.00	640.00	installment
15739	970.00	1600.00	installment
1350	86.00	170.00	installment
14490	262.00	440.00	installment
15670	970.00	1600.00	installment
11095	400.00	670.00	installment
15670	970.00	1600.00	installment
13934	155.00	299.00	single
15673	289.00	490.00	installment
11128	1250.00	2040.00	installment
13588	831.00	1450.00	installment
13986	155.00	219.00	single
13986	155.00	219.00	single
13986	155.00	219.00	single
8369	61.00	120.00	installment
13569	69.00	140.00	installment
15670	970.00	1600.00	installment
15715	970.00	1600.00	installment
15715	970.00	1600.00	installment
3687	505.00	850.00	installment
12914	230.00	490.00	installment
15707	965.00	1670.00	installment
11847	425.00	760.00	installment
14609	255.00	430.00	installment
14248	950.00	1570.00	installment
15133	1026.00	1800.00	installment
15727	970.00	1600.00	installment
15673	289.00	490.00	installment
14620	303.00	590.00	installment
11221	600.00	990.00	installment
12536	420.00	690.00	installment
14930	235.00	490.00	installment
15732	35.00	100.00	installment
11975	650.00	1070.00	installment
3943	85.00	170.00	installment
4867	82.00	170.00	installment
5997	56.00	120.00	installment
8564	132.00	270.00	installment
11298	106.00	220.00	installment
11482	95.00	200.00	installment
14824	90.00	180.00	installment
15733	163.00	280.00	installment
13662	172.00	290.00	installment
14415	262.00	440.00	installment
14998	159.00	300.00	installment
15016	40.00	840.00	installment
15446	686.00	1210.00	installment
15673	289.00	490.00	installment
9691	880.00	1440.00	installment
11469	4150.00	5950.00	installment
10465	2050.00	2780.00	installment
15739	970.00	1600.00	installment
15739	970.00	1600.00	installment
15346	180.00	330.00	installment
13024	491.00	910.00	installment
7005	1090.00	1930.00	installment
11751	294.00	490.00	installment
15744	289.00	490.00	installment
2092	635.00	1040.00	installment
12099	197.00	350.00	installment
13300	89.00	180.00	installment
13942	44.00	100.00	installment
150	550.00	970.00	installment
14221	605.00	990.00	installment
15750	970.00	1600.00	installment
14244	1450.00	2440.00	installment
15754	970.00	1600.00	installment
14097	154.00	280.00	installment
15739	970.00	1600.00	installment
10465	1680.00	2780.00	installment
5112	609.00	1010.00	installment
13444	1550.00	2540.00	installment
15762	289.00	490.00	installment
2079	1110.00	1180.00	single
14396	919.00	1040.00	single
12460	420.00	690.00	installment
13273	445.00	790.00	installment
13946	515.00	850.00	installment
13694	831.00	1450.00	installment
13295	460.00	790.00	installment
14370	899.00	1570.00	installment
9064	580.00	960.00	installment
15707	970.00	1600.00	installment
15752	2057.00	3380.00	installment
14303	1000.00	1690.00	installment
7588	1325.00	2170.00	installment
15125	941.00	1570.00	installment
15638	168.00	310.00	installment
15755	190.00	370.00	installment
12646	254.00	430.00	installment
14395	187.00	320.00	installment
14699	85.00	250.00	installment
15727	970.00	1600.00	installment
146	385.00	670.00	installment
13273	445.00	790.00	installment
15720	970.00	1600.00	installment
13295	460.00	790.00	installment
13949	500.00	820.00	installment
13535	599.00	1090.00	installment
12876	730.00	1240.00	installment
6079	1120.00	1840.00	installment
9067	278.00	510.00	installment
15737	2449.00	3890.00	installment
6227	260.00	440.00	installment
14759	1990.00	3380.00	installment
8380	735.00	1210.00	installment
14299	960.00	1570.00	installment
15795	86.00	200.00	installment
13769	1550.00	2700.00	installment
14104	495.00	850.00	installment
4866	260.00	440.00	installment
15747	1470.00	2400.00	installment
14253	950.00	1570.00	installment
14311	1000.00	1670.00	installment
8204	960.00	1570.00	installment
14805	165.00	370.00	installment
10463	1270.00	2180.00	installment
7406	615.00	1070.00	installment
12109	1000.00	1690.00	installment
721	185.00	340.00	installment
13411	620.00	1020.00	installment
15793	111.00	460.00	installment
14331	1230.00	2060.00	installment
5127	550.00	910.00	installment
11751	294.00	490.00	installment
8581	680.00	1110.00	installment
