dim	mo	k	n	amount	rem	act
goods	2025-03	568	1	630.00	0.00	0
goods	2025-03	606	1	1923.92	0.00	0
goods	2025-03	657	1	1584.00	0.00	0
goods	2025-03	676	1	1704.00	0.00	0
goods	2025-03	682	1	1550.00	0.00	0
goods	2025-03	684	1	850.72	0.00	0
goods	2025-03	685	1	2340.00	0.00	0
goods	2025-03	687	2	4300.00	0.00	0
goods	2025-03	698	1	1190.00	0.00	0
goods	2025-03	704	1	1220.00	0.00	0
goods	2025-03	726	1	844.00	0.00	0
goods	2025-03	727	1	1130.00	1010.00	1
goods	2025-03	750	1	3930.00	0.00	0
goods	2025-03	766	1	2124.00	0.00	0
goods	2025-03	800	1	788.00	0.00	0
goods	2025-03	808	1	1860.00	0.00	0
goods	2025-03	817	1	2267.00	0.00	0
goods	2025-03	838	1	1920.00	0.00	0
goods	2025-03	840	2	2998.70	0.00	0
goods	2025-03	841	1	932.00	0.00	0
goods	2025-03	844	1	1020.00	0.00	0
goods	2025-03	847	1	911.00	0.00	0
goods	2025-03	851	2	910.00	0.00	0
goods	2025-03	853	1	680.00	509.00	0
goods	2025-03	859	1	469.54	0.00	0
goods	2025-03	862	2	1360.00	0.00	0
goods	2025-03	866	1	1277.89	0.00	0
goods	2025-03	872	1	720.00	0.00	0
goods	2025-03	880	1	1070.00	0.00	0
goods	2025-03	885	2	2617.00	0.00	0
goods	2025-03	891	1	535.00	0.00	0
goods	2025-03	893	1	1300.00	0.00	0
goods	2025-03	899	1	1793.00	0.00	0
goods	2025-03	900	2	2019.28	0.00	0
goods	2025-03	901	2	2286.00	0.00	0
goods	2025-03	902	1	1450.00	0.00	0
goods	2025-03	915	1	550.00	0.00	0
goods	2025-03	917	3	4695.56	0.00	0
goods	2025-03	921	3	2880.00	0.00	0
goods	2025-03	927	1	720.00	0.00	0
goods	2025-04	116	1	498.94	0.00	0
goods	2025-04	130	1	389.36	0.00	0
goods	2025-04	134	1	360.00	0.00	0
goods	2025-04	138	1	940.00	0.00	0
goods	2025-04	140	1	90.00	0.00	0
goods	2025-04	168	1	197.40	0.00	0
goods	2025-04	1975	1	770.00	0.00	0
goods	2025-04	1994	2	3061.99	0.00	0
goods	2025-04	2004	1	922.92	0.00	0
goods	2025-04	2007	1	1270.00	0.00	0
goods	2025-04	2008	1	284.10	0.00	0
goods	2025-04	206	1	2000.00	0.00	0
goods	2025-04	212	1	700.00	0.00	0
goods	2025-04	214	1	499.00	0.00	0
goods	2025-04	231	1	1149.00	0.00	0
goods	2025-04	232	1	1015.00	0.00	0
goods	2025-04	2489	96	116754.34	11055.85	14
goods	2025-04	2492	1	550.00	0.00	0
goods	2025-04	2511	1	783.00	0.00	0
goods	2025-04	259	2	2689.00	680.00	2
goods	2025-04	262	1	2073.00	0.00	0
goods	2025-04	309	1	520.00	0.00	0
goods	2025-04	326	1	810.00	0.00	0
goods	2025-04	342	1	1194.00	0.00	0
goods	2025-04	343	1	2030.00	0.00	0
goods	2025-04	356	1	550.00	0.00	0
goods	2025-04	40376	2	991.29	0.00	0
goods	2025-04	41444	1	288.00	0.00	0
goods	2025-04	418	1	1497.00	0.00	0
goods	2025-04	42570	1	420.00	0.00	0
goods	2025-04	427	4	3661.00	0.00	0
goods	2025-04	433	1	1722.34	0.00	0
goods	2025-04	437	1	2670.00	0.00	0
goods	2025-04	450	1	770.00	0.00	0
goods	2025-04	459	1	610.00	0.00	0
goods	2025-04	487	1	504.00	0.00	0
goods	2025-04	490	1	304.00	0.00	0
goods	2025-04	522	1	2557.00	0.00	0
goods	2025-04	616	1	1419.00	0.00	0
goods	2025-04	652	3	3352.00	0.00	0
