dim	mo	k	n	amount	rem	act
goods	2026-04	2502	1	1064.00	520.00	1
goods	2026-04	2503	7	11150.53	6456.00	7
goods	2026-04	2504	1	360.00	116.84	1
goods	2026-04	2508	1	380.00	222.00	1
goods	2026-04	251	1	780.00	250.00	1
goods	2026-04	2510	4	2300.00	1096.00	4
goods	2026-04	2516	1	515.00	255.00	1
goods	2026-04	2520	1	1270.00	582.00	1
goods	2026-04	2523	1	1195.00	881.00	1
goods	2026-04	2525	41	65891.33	46134.47	41
goods	2026-04	25260	1	841.50	533.50	1
goods	2026-04	2529	11	5306.21	2857.35	10
goods	2026-04	2530	1	1020.00	582.00	1
goods	2026-04	2560	1	1137.00	624.00	1
goods	2026-04	2570	1	1668.35	988.62	1
goods	2026-04	2573	1	258.00	0.00	0
goods	2026-04	2584	1	328.21	251.70	1
goods	2026-04	2594	1	258.83	149.61	1
goods	2026-04	2596	2	1775.00	850.00	2
goods	2026-04	2600	1	1750.00	1020.00	1
goods	2026-04	2607	2	2020.00	1031.00	2
goods	2026-04	265	1	1110.00	500.00	1
goods	2026-04	269	1	310.00	150.00	1
goods	2026-04	26978	1	1829.36	1067.36	1
goods	2026-04	2747	1	368.00	144.00	1
goods	2026-04	289	1	3630.00	2000.00	1
goods	2026-04	29069	1	1809.00	1165.00	1
goods	2026-04	29815	1	5216.10	3475.10	1
goods	2026-04	302	1	850.00	503.00	1
goods	2026-04	308	1	470.00	270.00	1
goods	2026-04	311	1	680.00	325.00	1
goods	2026-04	312	1	910.00	0.00	0
goods	2026-04	319	1	340.41	199.75	1
goods	2026-04	33075	1	868.00	503.00	1
goods	2026-04	341	2	2810.00	1651.00	2
goods	2026-04	342	2	3469.40	1668.14	2
goods	2026-04	343	2	3703.75	2150.07	2
goods	2026-04	34358	1	470.00	0.00	0
goods	2026-04	346	1	330.00	200.00	1
goods	2026-04	350	3	4368.00	2640.00	3
goods	2026-04	353	1	480.00	276.00	1
goods	2026-04	36227	1	1220.00	720.00	1
goods	2026-04	367	1	1353.00	735.00	1
goods	2026-04	369	1	1663.11	1079.37	1
goods	2026-04	371	1	3220.00	1485.00	1
goods	2026-04	372	1	3280.00	1495.00	1
goods	2026-04	3745	5	6298.00	3503.00	5
goods	2026-04	3748	7	10585.24	6088.08	7
goods	2026-04	3831	5	3820.13	2331.97	5
goods	2026-04	3868	2	500.00	218.00	2
goods	2026-04	3870	2	2770.00	1820.00	2
goods	2026-04	3871	2	3530.72	2003.85	2
goods	2026-04	3893	16	14388.29	9279.00	16
goods	2026-04	402	1	424.00	197.00	1
goods	2026-04	40492	1	289.00	139.00	1
goods	2026-04	4088	2	5960.00	3118.00	2
goods	2026-04	4089	2	8120.00	7300.00	2
goods	2026-04	410	1	2560.00	1320.00	1
goods	2026-04	412	1	850.00	503.00	1
goods	2026-04	413	6	5229.00	3035.00	6
goods	2026-04	414	2	2099.00	1104.00	2
goods	2026-04	41543	1	427.42	251.71	1
goods	2026-04	41546	1	870.00	425.00	1
goods	2026-04	416	1	1410.00	932.00	1
goods	2026-04	425	3	4565.00	2472.00	3
goods	2026-04	427	4	3693.59	2015.00	4
goods	2026-04	434	1	2080.00	1190.00	1
goods	2026-04	443	1	840.00	480.00	1
goods	2026-04	446	1	1140.00	660.00	1
goods	2026-04	463	3	5210.00	3013.00	3
goods	2026-04	482	1	2933.00	1420.00	1
goods	2026-04	487	1	510.00	85.00	1
goods	2026-04	494	1	334.00	244.00	1
goods	2026-04	500	4	2921.00	1530.00	4
goods	2026-04	501	1	880.00	425.00	1
goods	2026-04	515	1	370.00	178.00	1
goods	2026-04	5172	1	1000.00	570.00	1
goods	2026-04	522	1	1920.00	1124.00	1
goods	2026-04	528	1	2900.00	1560.00	1
goods	2026-04	530	1	1120.00	715.00	1
goods	2026-04	531	1	1040.00	1000.00	1
goods	2026-04	537	1	1450.00	840.00	1
goods	2026-04	58903	1	900.00	0.00	0
goods	2026-04	611	1	970.00	460.00	1
goods	2026-04	649	2	3351.00	1700.00	2
goods	2026-04	654	1	6115.00	3607.00	1
goods	2026-04	656	1	1050.00	600.00	1
goods	2026-04	660	2	3450.00	2250.00	2
goods	2026-04	669	3	3748.00	1943.00	3
goods	2026-04	673	1	1870.00	1110.00	1
goods	2026-04	681	3	4805.00	2630.00	3
goods	2026-04	682	1	1619.93	941.93	1
goods	2026-04	684	3	3242.00	1805.00	3
goods	2026-04	685	2	2540.00	861.00	1
goods	2026-04	686	2	4016.54	2128.00	2
goods	2026-04	688	1	2411.10	1384.70	1
goods	2026-04	692	1	1890.00	0.00	0
goods	2026-04	712	1	510.00	250.00	1
goods	2026-04	719	1	1450.00	852.00	1
goods	2026-04	725	1	570.00	275.00	1
goods	2026-04	747	1	800.00	315.00	1
goods	2026-04	773	1	1200.00	1035.00	1
goods	2026-04	780	1	420.00	0.00	0
goods	2026-04	783	4	7620.02	3447.00	3
goods	2026-04	788	1	2570.00	0.00	0
goods	2026-04	789	1	370.00	210.00	1
goods	2026-04	800	2	875.60	509.14	2
goods	2026-04	808	2	3740.00	2124.00	2
goods	2026-04	817	1	1526.00	881.00	1
goods	2026-04	820	1	1905.00	1097.00	1
goods	2026-04	826	1	1160.00	660.00	1
goods	2026-04	833	1	1460.00	1260.00	1
goods	2026-04	843	4	4605.00	2641.00	4
goods	2026-04	866	3	4172.00	2780.00	2
goods	2026-04	872	1	610.00	360.00	1
goods	2026-04	880	3	3623.29	2209.50	3
goods	2026-04	895	1	1310.00	840.00	1
goods	2026-04	89625	4	1908.73	1063.73	3
goods	2026-04	907	2	4051.00	2298.00	2
goods	2026-04	914	1	633.00	335.00	1
goods	2026-04	916	5	3466.00	1331.00	4
goods	2026-04	924	1	2890.00	2272.00	1
goods	2026-04	927	1	1040.00	599.44	1
goods	2026-04	930	1	510.00	80.00	1
goods	2026-04	938	1	1230.00	690.00	1
goods	2026-04	939	1	990.00	576.00	1
goods	2026-04	954	1	490.00	235.00	1
goods	2026-04	971	1	430.00	270.00	1
goods	2026-04	977	1	1100.00	1050.00	1
goods	2026-04	988	4	6225.11	4418.86	4
goods	2026-04	991	1	510.00	490.00	1
goods	2026-05	1008	2	2280.00	1650.00	2
goods	2026-05	1025	2	1474.00	860.00	2
goods	2026-05	1027	2	1120.00	818.00	2
goods	2026-05	1030	2	1018.00	792.00	2
goods	2026-05	1033	1	1400.00	910.00	1
goods	2026-05	1052	1	1500.00	1015.00	1
goods	2026-05	106	1	290.00	196.00	1
goods	2026-05	1062	1	1480.00	1001.00	1
goods	2026-05	1063	2	2471.00	1670.00	2
goods	2026-05	10678	1	3346.00	2380.00	1
goods	2026-05	10683	2	1239.00	899.00	2
goods	2026-05	10729	1	550.00	160.00	1
goods	2026-05	10731	3	3600.00	2802.00	3
goods	2026-05	10732	3	1419.10	837.74	3
goods	2026-05	108	1	216.00	148.00	1
goods	2026-05	1086	2	1880.00	1183.00	2
goods	2026-05	110	1	560.00	385.00	1
goods	2026-05	1151	1	346.00	231.00	1
goods	2026-05	1158	1	1840.00	1740.00	1
goods	2026-05	1185	1	2210.00	2160.00	1
goods	2026-05	1188	2	6772.00	4237.00	2
goods	2026-05	119	1	229.00	129.00	1
goods	2026-05	1190	3	1980.00	1165.00	3
goods	2026-05	1191	3	1965.00	1306.00	3
goods	2026-05	1192	1	700.00	476.00	1
goods	2026-05	1193	1	710.00	480.00	1
goods	2026-05	1204	1	250.00	60.00	1
goods	2026-05	1210	1	1478.00	1001.00	1
goods	2026-05	1214	1	3148.00	1994.00	1
goods	2026-05	1217	1	1139.64	879.82	1
goods	2026-05	1228	1	270.00	150.00	1
goods	2026-05	1239	4	8799.44	4354.44	3
goods	2026-05	12404	1	650.00	378.00	1
goods	2026-05	1251	1	1501.00	1020.00	1
goods	2026-05	1254	1	1602.00	1255.00	1
goods	2026-05	1272	2	2512.48	1705.00	2
goods	2026-05	1273	1	657.00	378.00	1
goods	2026-05	128	1	943.00	657.00	1
goods	2026-05	1290	1	1260.00	968.00	1
goods	2026-05	1291	1	460.00	315.00	1
goods	2026-05	1294	1	1450.00	980.00	1
goods	2026-05	1300	2	2490.00	1701.00	2
goods	2026-05	1303	1	1450.00	1080.00	1
goods	2026-05	1316	2	2253.21	1422.26	2
goods	2026-05	13218	6	5720.00	4042.00	6
goods	2026-05	1339	2	3000.00	1995.00	2
goods	2026-05	13414	2	2619.73	1816.73	2
goods	2026-05	1342	4	6544.99	4870.99	4
goods	2026-05	1382	2	2970.00	1875.00	2
goods	2026-05	1386	3	8169.00	4690.00	3
goods	2026-05	139377	2	6400.00	4116.00	2
goods	2026-05	1399	2	4097.00	2765.00	2
goods	2026-05	1407	1	1410.00	980.00	1
goods	2026-05	142258	1	1590.70	1089.60	1
goods	2026-05	142260	1	1618.72	1411.72	1
goods	2026-05	142281	1	3100.00	2030.00	1
goods	2026-05	1435	2	720.00	417.00	2
goods	2026-05	1449	2	5884.00	4094.00	2
goods	2026-05	1455	1	2767.00	1726.00	1
goods	2026-05	1465	2	1340.00	1120.00	2
goods	2026-05	1467	8	6130.00	4305.00	8
goods	2026-05	147	1	395.00	230.00	1
goods	2026-05	1471	2	2268.00	1419.00	2
goods	2026-05	1472	7	4598.00	3383.00	7
goods	2026-05	1473	2	1544.00	1005.00	2
goods	2026-05	1475	1	1945.00	1355.00	1
goods	2026-05	1476	1	1960.00	1337.00	1
goods	2026-05	1478	2	5300.00	4750.00	2
goods	2026-05	1479	1	2700.00	1820.00	1
goods	2026-05	1480	1	510.00	125.00	1
goods	2026-05	1504	1	1080.00	755.00	1
goods	2026-05	1511	1	620.00	300.00	1
goods	2026-05	1525	1	297.88	208.44	1
goods	2026-05	1527	1	520.00	100.00	1
goods	2026-05	1528	1	1884.00	1250.00	1
goods	2026-05	1539	1	1529.00	1033.00	1
goods	2026-05	1545	1	1110.00	648.00	1
goods	2026-05	1546	2	3775.71	2860.88	2
goods	2026-05	1549	5	5830.00	4205.00	5
goods	2026-05	1550	2	4190.00	3411.00	2
goods	2026-05	1563	1	360.00	245.00	1
goods	2026-05	1565	1	700.00	550.00	1
goods	2026-05	1567	1	549.43	370.43	1
goods	2026-05	158	2	919.12	694.12	2
goods	2026-05	1594	2	1660.00	1016.00	2
goods	2026-05	1596	1	1250.00	1200.00	1
goods	2026-05	1624	1	399.00	273.00	1
goods	2026-05	1668	1	2300.00	1380.00	1
goods	2026-05	1672	1	2490.00	1820.00	1
goods	2026-05	1673	1	2476.00	1390.00	1
goods	2026-05	1687	1	306.00	175.00	1
goods	2026-05	1728	1	650.00	496.00	1
goods	2026-05	1740	1	509.00	350.00	1
goods	2026-05	1768	1	367.00	222.00	1
goods	2026-05	1769	1	320.00	0.00	0
goods	2026-05	1801	1	820.00	268.00	1
goods	2026-05	1843	1	320.00	100.00	1
goods	2026-05	1846	1	370.00	252.00	1
goods	2026-05	1861	1	580.00	336.00	1
goods	2026-05	1887	2	4228.53	1871.51	1
goods	2026-05	1892	1	290.00	186.00	1
goods	2026-05	1893	1	240.00	138.00	1
goods	2026-05	1896	1	458.00	276.00	1
goods	2026-05	1900	1	450.00	0.00	0
goods	2026-05	1903	1	328.00	192.00	1
goods	2026-05	19082	1	560.00	385.00	1
goods	2026-05	19087	1	424.00	98.00	1
goods	2026-05	19088	2	4507.00	2841.00	2
goods	2026-05	1917	1	1330.00	910.00	1
goods	2026-05	1920	2	4830.00	3290.00	2
goods	2026-05	1971	2	1667.39	1200.76	2
goods	2026-05	1975	5	3920.20	2714.00	5
goods	2026-05	1977	1	1389.90	1160.90	1
goods	2026-05	1981	1	3040.00	1500.00	1
goods	2026-05	1984	1	280.00	182.00	1
goods	2026-05	1991	1	2194.00	1530.00	1
goods	2026-05	2006	1	837.00	0.00	0
goods	2026-05	2007	3	4107.50	3013.50	3
goods	2026-05	2008	1	1276.26	737.30	1
goods	2026-05	2018	1	680.00	480.00	1
goods	2026-05	2026	1	794.00	620.00	1
goods	2026-05	2042	1	1920.00	1092.00	1
goods	2026-05	20626	1	3040.00	2320.00	1
goods	2026-05	20973	1	376.00	215.00	1
goods	2026-05	21032	1	460.00	301.00	1
goods	2026-05	21033	2	800.00	518.00	2
goods	2026-05	21052	1	455.70	299.60	1
goods	2026-05	21064	1	830.00	560.00	1
goods	2026-05	2125	9	7276.00	5379.00	9
goods	2026-05	2127	5	4197.00	2992.00	5
goods	2026-05	21288	1	282.76	174.00	1
goods	2026-05	21302	1	1119.08	971.08	1
goods	2026-05	21309	1	760.00	0.00	0
goods	2026-05	2143	1	2220.00	2120.00	1
goods	2026-05	2148	1	1530.00	900.00	1
goods	2026-05	2152	1	430.00	420.00	1
goods	2026-05	2158	2	3260.00	2352.00	2
goods	2026-05	2159	4	6550.00	4189.00	4
goods	2026-05	2160	5	2050.00	1303.00	5
goods	2026-05	2163	2	870.00	535.00	2
goods	2026-05	2164	1	700.00	414.00	1
goods	2026-05	2168	1	540.00	350.00	1
goods	2026-05	2169	1	856.00	567.00	1
goods	2026-05	2170	11	9288.13	6061.71	11
goods	2026-05	2174	1	760.00	511.00	1
goods	2026-05	2176	1	534.00	361.00	1
goods	2026-05	2181	1	820.00	560.00	1
goods	2026-05	2182	1	860.00	504.00	1
goods	2026-05	2216	2	2496.60	1372.60	2
goods	2026-05	2219	2	2166.48	1475.24	2
goods	2026-05	2222	1	1080.00	700.00	1
goods	2026-05	2227	1	1450.00	810.00	1
goods	2026-05	2241	1	1576.00	1092.00	1
goods	2026-05	2244	7	9024.00	6283.00	7
goods	2026-05	2245	2	2478.00	1545.95	2
goods	2026-05	2246	10	14085.41	10087.00	9
goods	2026-05	2247	6	7578.69	3046.27	4
goods	2026-05	22584	1	909.00	711.00	1
goods	2026-05	22604	1	1450.00	1001.00	1
goods	2026-05	2271	1	880.00	581.00	1
goods	2026-05	231	8	8863.00	5354.35	8
goods	2026-05	232	3	2817.00	1811.19	3
goods	2026-05	235	5	8181.91	4696.91	4
goods	2026-05	236	3	5671.08	4122.08	3
goods	2026-05	241	3	3130.00	2065.00	3
goods	2026-05	242	2	2090.06	1328.06	2
goods	2026-05	2433	1	2140.00	1470.00	1
goods	2026-05	24431	1	261.00	180.00	1
goods	2026-05	24439	3	2010.00	1352.00	3
goods	2026-05	245	2	1830.00	1253.00	2
goods	2026-05	247	1	1700.00	1155.00	1
goods	2026-05	24774	1	1890.00	1074.00	1
goods	2026-05	24779	1	3060.00	2960.00	1
goods	2026-05	24791	1	3779.17	2295.17	1
goods	2026-05	2481	2	2140.00	1406.00	2
goods	2026-05	2489	120	149304.91	108806.08	120
goods	2026-05	249	1	1040.00	693.00	1
goods	2026-05	2491	1	750.32	522.12	1
goods	2026-05	2497	3	785.00	351.00	2
goods	2026-05	2498	1	320.00	210.00	1
goods	2026-05	2499	7	3514.00	2312.00	7
goods	2026-05	2503	1	1600.00	1085.00	1
goods	2026-05	2508	1	364.00	210.00	1
goods	2026-05	2509	1	1239.00	714.00	1
goods	2026-05	251	1	719.20	345.20	1
goods	2026-05	2510	3	2103.90	1494.03	3
goods	2026-05	2515	2	3165.00	2030.00	2
goods	2026-05	2524	2	2480.00	1518.00	2
goods	2026-05	2525	15	23782.70	17226.14	15
goods	2026-05	25260	1	1060.00	805.00	1
goods	2026-05	2528	2	660.00	224.00	1
goods	2026-05	2529	4	2096.00	1405.00	4
goods	2026-05	2530	3	3059.00	2424.00	3
goods	2026-05	2533	1	2830.00	1935.00	1
goods	2026-05	2556	1	410.00	280.00	1
goods	2026-05	2559	3	1329.78	1123.78	3
goods	2026-05	256	1	930.00	630.00	1
goods	2026-05	2562	1	880.00	510.00	1
goods	2026-05	2568	1	1260.00	839.68	1
goods	2026-05	2589	1	1330.00	750.00	1
goods	2026-05	2607	2	2869.48	1926.24	2
goods	2026-05	2616	1	975.00	575.00	1
goods	2026-05	269	1	280.00	189.00	1
goods	2026-05	276	1	265.00	126.00	1
goods	2026-05	28139	1	2264.00	1518.00	1
goods	2026-05	289	2	9684.11	7746.11	2
goods	2026-05	295	1	789.00	648.00	1
goods	2026-05	308	1	425.00	0.00	0
goods	2026-05	310	2	1170.00	777.00	2
goods	2026-05	311	2	1300.00	630.00	2
goods	2026-05	312	1	910.00	890.00	1
goods	2026-05	324	1	617.00	419.00	1
goods	2026-05	32505	1	1300.00	1250.00	1
goods	2026-05	32540	1	700.00	218.00	1
goods	2026-05	32626	1	880.00	687.99	1
goods	2026-05	32670	1	560.00	540.00	1
goods	2026-05	32683	1	600.00	413.00	1
goods	2026-05	32848	1	66.00	14.00	1
goods	2026-05	333	2	1198.00	754.00	2
goods	2026-05	334	1	2710.00	1890.00	1
goods	2026-05	341	1	1509.00	1091.00	1
goods	2026-05	346	1	390.00	222.00	1
goods	2026-05	3524	1	438.26	300.94	1
goods	2026-05	355	1	460.00	305.00	1
goods	2026-05	356	2	1735.00	820.00	2
goods	2026-05	36288	1	510.00	350.00	1
goods	2026-05	36588	1	2721.42	1877.42	1
goods	2026-05	367	2	4206.00	2855.00	2
goods	2026-05	369	1	1824.00	957.00	1
goods	2026-05	372	1	4539.54	3631.77	1
goods	2026-05	373	1	3590.00	2712.00	1
goods	2026-05	3745	10	14420.80	8010.80	9
goods	2026-05	3748	7	8526.34	6175.51	7
goods	2026-05	377	1	3760.00	2768.00	1
goods	2026-05	3831	3	2337.98	1381.33	3
goods	2026-05	38327	8	8038.78	5909.70	8
goods	2026-05	38484	1	207.00	102.00	1
goods	2026-05	38584	1	516.00	383.00	1
goods	2026-05	38724	1	530.00	357.00	1
goods	2026-05	38754	1	455.00	360.00	1
goods	2026-05	38835	1	420.00	245.00	1
goods	2026-05	38857	1	1265.00	700.00	1
goods	2026-05	3893	2	1433.00	950.00	2
goods	2026-05	39056	1	470.00	270.00	1
goods	2026-05	39062	1	289.98	188.99	1
goods	2026-05	39173	1	1077.00	685.00	1
goods	2026-05	39180	1	850.00	560.00	1
goods	2026-05	39280	1	3360.00	2170.00	1
goods	2026-05	39448	2	3240.00	2093.00	2
goods	2026-05	39556	1	2438.33	1643.47	1
goods	2026-05	39640	1	428.00	0.00	0
goods	2026-05	39643	1	470.00	315.00	1
goods	2026-05	39650	1	679.00	511.00	1
goods	2026-05	39651	1	1676.32	1140.32	1
goods	2026-05	39655	1	950.00	720.00	1
goods	2026-05	39657	1	950.00	450.00	1
goods	2026-05	39663	2	3038.00	2101.00	2
goods	2026-05	39665	1	1880.00	0.00	0
goods	2026-05	39666	1	1868.00	1210.00	1
goods	2026-05	39667	1	1594.00	926.00	1
goods	2026-05	39668	1	1600.00	1106.00	1
goods	2026-05	39677	1	1890.00	1840.00	1
goods	2026-05	39704	1	730.00	502.00	1
goods	2026-05	39707	2	1640.00	1120.00	2
goods	2026-05	39710	1	518.00	313.00	1
goods	2026-05	39712	1	472.00	325.00	1
goods	2026-05	39713	1	480.00	276.00	1
goods	2026-05	39715	2	1098.34	734.17	2
goods	2026-05	39716	1	558.00	371.00	1
goods	2026-05	39717	3	1740.00	1114.00	3
goods	2026-05	39720	3	5046.00	3354.00	3
goods	2026-05	39721	1	1674.32	983.11	1
goods	2026-05	39722	1	1700.00	1600.00	1
goods	2026-05	39723	2	3300.00	1141.00	1
goods	2026-05	39727	1	1930.00	1830.00	1
goods	2026-05	39730	1	2041.00	1413.74	1
goods	2026-05	39741	1	1450.00	980.00	1
goods	2026-05	39847	1	675.00	360.00	1
goods	2026-05	39927	1	700.00	414.00	1
goods	2026-05	39988	1	520.00	350.00	1
goods	2026-05	40003	1	4780.00	4480.00	1
goods	2026-05	40048	1	510.00	307.00	1
goods	2026-05	40146	1	362.00	248.00	1
goods	2026-05	40219	2	1460.00	931.00	2
goods	2026-05	40220	2	3060.00	2086.00	2
goods	2026-05	40256	1	1530.00	1350.00	1
goods	2026-05	40291	1	900.00	609.00	1
goods	2026-05	40299	1	2410.00	1652.00	1
goods	2026-05	40362	1	1230.00	840.00	1
goods	2026-05	40372	1	838.90	639.42	1
goods	2026-05	40375	1	1526.00	1034.00	1
goods	2026-05	40466	1	1002.00	690.00	1
goods	2026-05	40469	1	949.00	644.00	1
goods	2026-05	40472	4	1973.00	1195.00	4
goods	2026-05	40845	1	480.00	329.00	1
goods	2026-05	4087	3	9140.00	7354.00	3
goods	2026-05	4088	1	2980.00	2016.00	1
goods	2026-05	410	2	5120.00	1689.83	1
goods	2026-05	41202	1	420.00	320.00	1
goods	2026-05	413	4	3151.00	1833.00	3
goods	2026-05	414	5	4951.95	3894.65	5
goods	2026-05	41451	1	2127.00	1140.00	1
goods	2026-05	41455	1	620.00	488.00	1
goods	2026-05	41460	1	1790.00	1204.00	1
goods	2026-05	41538	1	1106.00	755.00	1
goods	2026-05	41542	1	1449.00	1079.00	1
goods	2026-05	41546	1	869.00	594.00	1
goods	2026-05	41547	1	480.00	376.00	1
goods	2026-05	41553	1	3470.00	2616.00	1
goods	2026-05	416	1	1586.98	1078.00	1
goods	2026-05	421	1	2270.00	1320.00	1
goods	2026-05	423	2	6078.77	4458.77	2
goods	2026-05	425	4	5398.00	3772.00	4
goods	2026-05	427	2	1920.00	1395.00	2
goods	2026-05	432	1	1520.00	1029.00	1
goods	2026-05	434	5	10880.00	6846.00	5
goods	2026-05	4345	1	420.00	246.00	1
goods	2026-05	4350	1	350.00	116.00	1
goods	2026-05	436	1	735.00	525.00	1
goods	2026-05	4367	1	596.00	0.00	0
goods	2026-05	4376	1	455.00	110.00	1
goods	2026-05	442	1	390.00	265.00	1
goods	2026-05	443	1	640.00	378.00	1
goods	2026-05	444	2	5379.00	3890.00	2
goods	2026-05	456	1	560.00	330.00	1
goods	2026-05	458	1	421.00	315.00	1
goods	2026-05	463	1	1509.00	846.00	1
goods	2026-05	485	1	260.00	150.00	1
goods	2026-05	487	1	610.00	420.00	1
goods	2026-05	488	1	577.00	399.00	1
goods	2026-05	48850	1	6717.00	5133.00	1
goods	2026-05	495	1	410.00	280.00	1
goods	2026-05	500	2	1517.00	1306.00	2
goods	2026-05	507	1	664.00	401.00	1
goods	2026-05	510	1	430.00	266.00	1
goods	2026-05	518	1	1016.00	660.00	1
goods	2026-05	5181	1	1040.00	588.00	1
goods	2026-05	522	1	1620.00	1415.00	1
goods	2026-05	5241	1	1440.00	980.00	1
goods	2026-05	531	1	1039.00	594.00	1
goods	2026-05	537	2	3250.00	2044.00	2
goods	2026-05	566	1	435.00	213.00	1
goods	2026-05	58903	2	2840.00	1905.00	2
goods	2026-05	598	2	5800.00	4425.00	2
goods	2026-05	611	1	960.00	744.00	1
goods	2026-05	630	2	2600.00	1722.00	2
goods	2026-05	631	2	2190.00	1780.00	2
goods	2026-05	648	1	250.00	154.00	1
goods	2026-05	653	1	1620.00	1120.00	1
goods	2026-05	654	2	3541.00	2355.00	2
goods	2026-05	657	1	2380.00	1526.00	1
goods	2026-05	660	2	4250.00	3390.00	2
goods	2026-05	667	1	896.00	588.00	1
goods	2026-05	679	1	840.00	574.00	1
goods	2026-05	681	1	1650.00	1085.00	1
goods	2026-05	684	1	1089.00	749.00	1
goods	2026-05	685	4	5041.00	3647.00	4
goods	2026-05	686	2	6430.00	5235.00	2
goods	2026-05	688	1	2510.00	1743.00	1
goods	2026-05	68897	1	3490.00	2752.00	1
goods	2026-05	696	1	1670.00	1134.00	1
goods	2026-05	704	1	1348.70	909.33	1
goods	2026-05	707	1	1890.00	1183.00	1
goods	2026-05	719	3	4350.00	1960.00	2
goods	2026-05	747	1	950.00	930.00	1
goods	2026-05	769	1	570.00	385.00	1
goods	2026-05	774	1	1360.00	917.00	1
goods	2026-05	781	1	1970.00	1483.00	1
goods	2026-05	783	1	1952.00	1300.00	1
goods	2026-05	800	2	1430.00	799.00	2
goods	2026-05	808	3	5230.00	3369.00	3
goods	2026-05	818	1	2089.87	1592.00	1
goods	2026-05	826	1	1753.00	1239.00	1
goods	2026-05	832	1	728.56	237.28	1
goods	2026-05	843	6	6575.00	3428.39	5
goods	2026-05	844	1	1086.90	648.00	1
goods	2026-05	859	1	1039.61	910.61	1
goods	2026-05	862	1	520.00	168.00	1
goods	2026-05	866	14	18782.26	12102.10	14
goods	2026-05	868	1	3722.00	2740.00	1
goods	2026-05	876	12	9531.61	6268.48	12
goods	2026-05	883	1	2129.00	1463.00	1
goods	2026-05	884	2	2787.18	2190.18	2
goods	2026-05	888	1	1000.00	880.00	1
goods	2026-05	891	1	1260.00	720.00	1
goods	2026-05	89625	1	250.00	144.00	1
goods	2026-05	897	2	3280.00	2384.00	2
goods	2026-05	899	1	1634.00	1110.00	1
goods	2026-05	910	2	1459.00	841.00	2
goods	2026-05	914	1	697.00	412.00	1
goods	2026-05	917	1	1886.00	1308.00	1
goods	2026-05	920	1	1157.10	832.87	1
goods	2026-05	921	2	2433.38	1690.19	2
goods	2026-05	927	4	3805.00	2559.00	4
goods	2026-05	928	1	1734.00	894.00	1
goods	2026-05	930	1	820.00	640.00	1
goods	2026-05	931	1	1090.00	749.00	1
goods	2026-05	932	1	414.00	322.00	1
goods	2026-05	971	1	455.20	348.20	1
goods	2026-05	979	1	916.00	620.00	1
goods	2026-05	985	1	1298.86	699.43	1
goods	2026-05	991	2	1014.71	349.06	1
goods	2026-06	NULL	1	1720.00	1720.00	0
goods	2026-06	1008	3	3403.00	2640.00	3
goods	2026-06	1011	1	1769.00	1335.00	1
goods	2026-06	1025	1	760.00	675.00	1
goods	2026-06	1030	2	1108.85	735.07	2
goods	2026-06	1031	2	2585.08	1065.08	1
goods	2026-06	1033	1	2750.00	2650.00	1
goods	2026-06	1036	1	238.00	200.00	1
goods	2026-06	1046	1	430.00	378.00	1
goods	2026-06	1052	2	2780.00	1982.00	2
goods	2026-06	1054	4	3097.00	2333.00	4
goods	2026-06	10683	2	1490.00	856.00	2
goods	2026-06	1069	3	7992.00	6023.00	3
goods	2026-06	10690	2	1242.00	562.00	2
goods	2026-06	10723	1	1426.00	1120.00	1
goods	2026-06	10729	3	2739.06	2296.06	3
goods	2026-06	10731	1	1183.91	865.97	1
goods	2026-06	1076	1	870.00	680.00	1
goods	2026-06	1086	6	5655.60	4587.60	6
goods	2026-06	1103	1	1727.00	1305.00	1
goods	2026-06	1179	4	6207.00	4775.00	4
goods	2026-06	118	1	560.00	424.00	1
goods	2026-06	1180	1	1940.00	1689.00	1
goods	2026-06	1190	1	660.00	455.00	1
goods	2026-06	1191	11	8546.00	6128.26	11
goods	2026-06	1192	2	1393.00	1026.00	2
goods	2026-06	1193	4	2875.00	2169.00	4
goods	2026-06	1202	1	370.00	240.00	1
goods	2026-06	1210	4	4697.00	3818.00	4
goods	2026-06	1211	1	1670.00	1320.00	1
goods	2026-06	1229	1	270.00	208.00	1
goods	2026-06	1232	1	1089.00	707.00	1
goods	2026-06	1239	1	1630.00	1120.00	1
goods	2026-06	12400	1	510.00	250.00	1
goods	2026-06	1244	1	2650.00	2040.00	1
goods	2026-06	125	1	280.00	168.00	1
goods	2026-06	12580	1	590.00	580.00	1
goods	2026-06	1272	1	1260.00	968.00	1
goods	2026-06	1274	1	479.14	375.14	1
goods	2026-06	1275	5	1719.00	1073.00	4
goods	2026-06	1276	2	780.00	630.00	2
goods	2026-06	1287	1	270.00	208.00	1
goods	2026-06	1302	1	1450.00	1120.00	1
goods	2026-06	1303	1	1450.00	1152.00	1
goods	2026-06	1311	1	370.00	360.00	1
goods	2026-06	1316	1	900.00	595.00	1
goods	2026-06	1318	2	2560.00	1878.00	2
goods	2026-06	1319	1	647.00	510.00	1
goods	2026-06	13218	1	883.00	630.00	1
goods	2026-06	1350	2	1020.00	809.00	2
goods	2026-06	1354	1	329.00	255.00	1
goods	2026-06	1359	1	510.00	251.00	1
goods	2026-06	1360	1	649.00	512.00	1
goods	2026-06	1366	3	1683.00	854.00	2
goods	2026-06	1368	1	278.00	216.00	1
